rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,rcpt_28
10.0,0.53,12.0,100.0,356.0,844.0,951.0,9.09,0.08,
10.0,0.5,25.0,,351.0,550.0,1370.6,8.818,0.06,1394.0
10.0,0.5,,,360.0,588.0,1240.0,8.632,0.251,
10.0,0.4,,,360.0,1164.0,916.0,8.75,,
10.0,0.3,15.0,99.0,403.2,699.0,1137.0,8.72,0.055,
10.0,0.39,25.0,,335.25,492.58,1454.1,8.694,0.12,
10.0,0.23,12.0,,783.0,344.0,933.0,9.1,,
10.0,0.35,12.0,,514.0,608.0,933.0,9.1,,
10.0,0.47,12.0,,383.0,737.0,933.0,9.1,,
10.0,0.5,,100.0,360.0,400.0,800.0,8.78,0.07,
10.0,0.35,23.0,100.0,585.0,961.0,828.0,,,
10.0,0.45,23.0,100.0,585.0,961.0,828.0,,,
10.0,0.4,,,526.1,559.0,830.0,,,
10.0,0.4,,,425.0,446.0,1489.0,,,
10.0,0.45,,,425.0,446.0,1489.0,,,
10.0,0.5,,,425.0,446.0,1489.0,,,
10.0,0.55,,,425.0,446.0,1489.0,,,
10.0,0.3,12.0,,480.0,1047.0,660.0,,,
10.0,0.45,25.0,,360.0,800.0,1600.0,,,
10.0,0.5,25.0,,360.0,800.0,1600.0,,,
10.0,0.6,25.0,,360.0,800.0,1600.0,,,
10.0,0.45,,,378.0,815.0,995.0,,,
10.0,0.45,,,354.6,734.46,1146.35,,,
10.0,0.5,6.57,,342.0,755.0,685.0,8.25,0.062,845.0
10.0,0.342,,,450.0,925.0,830.0,7.44,0.39,
10.0,0.29,,,500.0,832.0,830.0,7.44,0.39,
10.0,0.43,,100.0,480.0,810.0,670.0,9.35,0.111,
10.0,0.5,,,315.0,960.3,795.7,8.961,0.091,1652.0
10.0,0.413,,,405.0,635.0,1151.0,8.61,0.18,1662.0
10.0,0.3,5.69,100.0,504.0,725.0,1000.0,8.29,0.229,327.67
